utm_zone,coordinate_reference_system,epsg_code,zone_numeric
1N,NAD83 / UTM zone 1N,EPSG:26901,1
2N,NAD83 / UTM zone 2N,EPSG:26902,2
3N,NAD83 / UTM zone 3N,EPSG:26903,3
4N,NAD83 / UTM zone 4N,EPSG:26904,4
5N,NAD83 / UTM zone 5N,EPSG:26905,5
6N,NAD83 / UTM zone 6N,EPSG:26906,6
7N,NAD83 / UTM zone 7N,EPSG:26907,7
8N,NAD83 / UTM zone 8N,EPSG:26908,8
9N,NAD83 / UTM zone 9N,EPSG:26909,9
10N,NAD83 / UTM zone 10N,EPSG:26910,10
11N,NAD83 / UTM zone 11N,EPSG:26911,11
12N,NAD83 / UTM zone 12N,EPSG:26912,12
13N,NAD83 / UTM zone 13N,EPSG:26913,13
14N,NAD83 / UTM zone 14N,EPSG:26914,14
15N,NAD83 / UTM zone 15N,EPSG:26915,15
16N,NAD83 / UTM zone 16N,EPSG:26916,16
17N,NAD83 / UTM zone 17N,EPSG:26917,17
18N,NAD83 / UTM zone 18N,EPSG:26918,18
19N,NAD83 / UTM zone 19N,EPSG:26919,19
20N,NAD83 / UTM zone 20N,EPSG:26920,20
21N,NAD83 / UTM zone 21N,EPSG:26921,21
22N,NAD83 / UTM zone 22N,EPSG:26922,22
23N,NAD83 / UTM zone 23N,EPSG:26923,23
